ID,level,trial,time_played,N_attempt,done,expectancy,SoC,crashed,N_drift,N_prior_crashs,SoC_last_trial,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
BI21RG,28,143,11.715791702270508,2,False,4,1,1,2,104,1.0,2,1,0,31
BI21RG,64,144,5.418368339538574,1,False,5,1,1,1,105,1.0,3,1,0,31
BI21RG,72,145,7.136487007141113,2,False,4,1,1,1,106,1.0,4,1,0,31
BI21RG,64,146,5.597264528274536,2,False,5,1,1,1,107,1.0,5,1,0,31
BI21RG,3,147,13.17055344581604,3,False,4,1,1,3,108,1.0,6,1,0,31
BI21RG,21,148,7.153700351715088,2,False,4,1,1,1,109,1.0,7,1,0,31
BI21RG,54,149,15.790127277374268,3,False,3,1,1,4,110,1.0,8,1,0,31
BI21RG,20,150,24.71789288520813,2,True,5,2,0,4,111,1.0,1,1,1,32
BI21RG,46,151,19.11557674407959,3,False,4,2,1,4,111,2.0,0,0,0,32
BI21RG,18,152,17.56706714630127,1,True,4,3,0,4,112,2.0,1,1,1,33
BI21RG,28,153,17.340877771377563,3,True,5,4,0,4,112,3.0,2,0,0,33
BI21RG,64,154,6.285401105880737,3,False,5,2,1,1,112,4.0,0,0,0,33
BI21RG,37,155,21.51353120803833,2,True,5,2,0,4,113,2.0,1,1,1,34
BI21RG,21,156,7.086742162704468,3,False,3,1,1,1,113,2.0,0,0,0,34
BI21RG,51,157,7.404820203781128,3,False,4,1,1,1,114,1.0,1,1,0,34
BI21RG,75,158,5.06704044342041,3,False,4,1,1,1,115,1.0,2,1,0,34
BI21RG,50,159,16.615649223327637,2,True,4,3,0,4,116,1.0,1,1,1,35
BI21RG,68,160,6.259887218475342,3,False,4,1,1,1,116,3.0,0,0,0,35
BI21RG,38,161,13.888283967971802,2,False,3,2,1,3,117,1.0,1,1,0,35
BI21RG,22,162,16.661468744277954,2,True,4,3,0,4,118,2.0,1,1,1,36
BI21RG,14,163,17.468278646469116,2,True,5,4,0,4,118,3.0,2,0,0,36
BI21RG,72,164,17.39818525314331,3,False,5,2,1,4,118,4.0,0,0,0,36
BI21RG,76,165,8.624371767044067,2,False,5,2,1,2,119,2.0,1,1,0,36
BI21RG,4,166,18.079464435577396,3,True,5,4,0,4,120,2.0,1,1,1,37
BI21RG,55,167,10.257574319839478,2,False,5,2,1,2,120,4.0,0,0,0,37
BI21RG,12,168,16.84093141555786,2,True,3,2,0,4,121,2.0,1,1,1,38
